NAME	NC_seq	NC_dom
IS1	14.70	13.80
IS110	17.60	16.30
IS1182	17.70	17.70
IS1380	15.20	14.50
IS1595	18.60	18.60
IS1634	15.10	13.40
IS200_IS605	15.10	14.10
IS21	14.80	12.00
IS256	14.50	5.70
IS3_IS150	15.10	12.60
IS3_IS2	14.90	14.60
IS3_IS3	14.00	13.50
IS3_IS407	19.30	12.20
IS3_IS51	14.40	14.00
IS30	15.70	14.30
IS4_IS10	14.90	14.60
IS4_IS231	13.30	13.10
IS4_IS4	17.20	15.30
IS4_IS4Sa	19.60	15.10
IS4_IS50	13.30	13.00
IS4_ISH8	13.70	13.60
IS4_ISPepr1	11.90	11.10
IS481	17.40	15.20
IS5_IS1031	16.10	15.30
IS5_IS427	16.60	15.80
IS5_IS5_model1	13.40	13.20
IS5_IS5_model2	20.00	16.40
IS5_IS5_model3	18.10	17.10
IS5_IS903	14.70	14.00
IS5_ISH1	15.30	14.40
IS5_ISL2	14.00	13.40
IS5_None_model1	15.90	15.70
IS5_None_model2	12.50	11.30
IS6	12.00	9.20
IS66	13.90	13.50
IS607	15.90	13.80
IS630	14.20	13.10
IS701	14.20	13.60
IS91	16.70	15.60
IS982	15.20	14.10
ISAs1	13.40	11.90
ISAzo13	12.80	11.20
ISH3	17.90	17.10
ISH6	13.70	13.30
ISKra4	14.10	13.20
ISL3	29.70	29.70
ISLre2	15.80	14.60
Tn3	12.80	12.10
ISNCY_IS1202	13.10	11.80
ISNCY_ISDol1	11.50	13.60
